Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price
ASUS,X1504ZA-NJ521WS,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,47990
HP,15-fe0027TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),Yes,88690
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,77990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,66999
MSI,Thin GF63 12VF-268IN,Core i5,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),No,74990
Infinix,XL30,Celeron Quad Core,Windows 11 Home,512 GB,8 GB,39.01 cm (15.36 inch),No,23990
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,49990
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,54990
ASUS,TN3402QA-LZ520WS,Ryzen 5 Hexa Core,Windows 11 Home,1 TB,8 GB,35.56 cm (14 inch),Yes,58990
DELL,Inspiron 3511,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,43990
SAMSUNG,Galaxy Book3,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,89990
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,38990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
HP,15s-fy5007TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,52990
ASUS,M1502QA-EJ741WS,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 Inch),No,49990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
SAMSUNG,Galaxy Book3,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,74990
DELL,Vostro,Core i3,Windows 10,256 GB,8 GB,38.0 cm (14.96 Inch),No,34990
Infinix,INBook X2 Plus Core i7,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),No,40990
ASUS,E1404FA-NK321WS,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,35.81 cm (14.1 inch),No,34499
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,66999
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,49990
Infinix,INBook Y2 Plus,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,27490
DELL,Inspiron 3520,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,53480
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,38990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
HP,13b-ca0006MU,MediaTek Kompanio 1200,Chrome,256 GB,8 GB,33.78 cm (13.3 Inch),No,35990
ASUS,GA401QE-K2166TS,Ryzen 9 Octa Core,Windows 10 Home,1 TB,16 GB,35.56 cm (14 Inch),No,89990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
WINGS,WL-Nuvobook V1-BLU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,27990
Lenovo,V15 G4,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,29800
ASUS,E510MA-EJ011WS,Celeron Dual Core,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,24990
HP,15-fb0137AX,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,66990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,66999
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,49990
Infinix,INBook X2 Plus Core i7,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),No,40990
HP,14s-fy1003AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,45490
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,77990
HP,Notebook,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,50999
HP,15a- na0012TU,Celeron Dual Core,Chrome,128 GB,4 GB,39.62 cm (15.6 Inch),No,22100
